,date,u,v,sp
194,2018-05-14,-11.56014633178711,5.855072975158691,13.260916709899902
195,2018-05-15,-12.049433708190918,3.7339675426483154,13.11937427520752
196,2018-05-16,-10.931243896484375,-0.1939360797405243,11.329808235168457
197,2018-05-17,-7.458064079284668,-1.5444374084472656,7.870314598083496
198,2018-05-18,-4.195214748382568,-1.7923732995986938,5.589751243591309
199,2018-05-19,-9.26352310180664,-0.13185656070709229,9.703547477722168
200,2018-05-20,-16.220029830932617,3.250251531600952,16.78549575805664
201,2018-05-21,-19.792743682861328,2.751220941543579,20.119958877563477
202,2018-05-22,-18.00864601135254,2.181727170944214,18.247873306274414
203,2018-05-23,-13.034422874450684,3.5405473709106445,13.925942420959473
204,2018-05-24,-18.362218856811523,3.3754005432128906,18.8020076751709
205,2018-05-25,-14.776310920715332,-2.3818180561065674,15.089640617370605
206,2018-05-26,-14.108631134033203,-2.340407609939575,14.496743202209473
207,2018-05-27,-10.534404754638672,-1.009788155555725,11.059444427490234
208,2018-05-28,-5.066888332366943,-1.6094005107879639,5.874228477478027
209,2018-05-29,-10.967677116394043,3.7643837928771973,11.80318546295166
210,2018-05-30,-15.063455581665039,7.261807441711426,16.99970245361328
211,2018-05-31,-13.416213989257812,3.7404849529266357,13.965168952941895
212,2018-11-01,-1.5357272624969482,4.171914100646973,4.824937343597412
213,2018-11-02,-2.799131393432617,-0.8562788963317871,4.00648832321167
214,2018-11-03,-3.4466235637664795,-1.4717673063278198,4.065115451812744
215,2018-11-04,-10.286897659301758,2.3612239360809326,11.72957706451416
216,2018-11-05,-11.520605087280273,5.6476359367370605,13.58109188079834
217,2018-11-06,-10.859002113342285,13.527969360351562,17.77998161315918
218,2018-11-07,-3.200009822845459,3.1976187229156494,5.396737575531006
219,2018-11-08,-2.0710880756378174,-2.764054536819458,3.67996883392334
220,2018-11-09,-1.5533183813095093,-1.9879150390625,4.601728439331055
221,2018-11-10,-4.739469528198242,-4.040467739105225,7.845942974090576
222,2018-11-11,-5.338191986083984,-0.32508817315101624,6.084253787994385
223,2018-11-12,-5.450705051422119,-2.1149709224700928,6.193432331085205
224,2018-11-13,-1.4214978218078613,-1.0160765647888184,2.9726054668426514
225,2018-11-14,3.937727451324463,-2.269617795944214,6.394844055175781
226,2018-11-15,-2.0113589763641357,-0.2247573733329773,4.846519470214844
227,2018-11-16,-14.728059768676758,5.950608253479004,15.963848114013672
228,2018-11-17,-22.956035614013672,11.872698783874512,25.9277286529541
229,2018-11-18,-25.17409324645996,7.71095085144043,26.344432830810547
230,2018-11-19,-28.529207229614258,9.364899635314941,30.05763053894043
231,2018-11-20,-29.164886474609375,6.034902572631836,29.831920623779297
232,2018-11-21,-34.183837890625,-0.7184274196624756,34.30497360229492
233,2018-11-22,-29.994449615478516,-0.7404395937919617,30.354951858520508
234,2018-11-23,-17.410167694091797,-5.5522894859313965,18.816877365112305
235,2018-11-24,-14.940250396728516,-2.6506619453430176,15.858850479125977
236,2018-11-25,-18.977710723876953,-0.1472403109073639,19.013486862182617
237,2018-11-26,-23.4042911529541,1.4697374105453491,23.49555015563965
